[25Jun2022 00:00:03.406] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:00:14.255] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:00:48.855] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:00:48.867] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:00:48.894] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:00:48.896] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:00:48.897] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:00:48.899] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:00:48.900] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:00:48.901] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:00:48.902] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:00:48.902] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:00:48.904] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:00:48.905] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:00:48.906] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:00:48.907] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:00:51.755] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:00:51.766] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:00:51.789] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:00:51.790] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:00:51.791] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:00:51.792] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:00:51.792] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:00:51.793] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:00:51.793] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:00:51.794] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:00:51.795] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:00:51.796] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:00:51.796] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:00:51.797] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:00:55.405] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:00:55.418] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:00:55.442] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:00:55.443] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:00:55.445] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:00:55.446] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:00:55.447] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:00:55.448] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:00:55.448] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:00:55.449] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:00:55.450] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:00:55.450] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:00:55.452] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:00:55.453] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:00.555] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:00.568] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:00.598] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:00.599] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:00.600] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:00.600] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:00.603] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:00.604] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:00.606] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:01:00.608] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:01:00.610] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:01:00.612] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:01:00.613] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:01:00.614] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:02.655] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:02.668] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:02.692] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:02.693] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:02.693] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:02.694] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:02.695] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:02.696] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:02.697] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:01:02.698] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:01:02.698] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:01:02.699] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:01:02.700] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:01:02.701] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:04.856] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:04.865] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:04.888] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:04.889] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:04.889] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:04.890] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:04.890] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:04.892] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:04.893] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:01:04.893] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:01:04.894] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:01:04.895] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:01:04.895] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:01:04.897] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:07.355] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:07.370] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:07.398] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:07.400] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:07.402] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:07.403] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:07.404] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:07.405] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:07.406] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:01:07.406] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:01:07.407] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:01:07.408] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:01:07.409] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:01:07.410] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:12.856] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:12.865] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:12.886] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:12.887] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:12.888] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:12.889] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:12.891] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:12.892] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:12.893] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:01:12.894] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:01:12.895] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:01:12.896] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:01:12.897] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:01:12.899] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:15.556] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:15.564] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:15.587] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:15.588] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:15.589] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:15.589] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:15.590] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:15.591] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:15.592] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:01:15.592] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:01:15.592] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:01:15.593] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:01:15.594] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:01:15.595] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:20.106] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:20.125] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:20.155] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:20.156] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:20.158] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:20.160] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:20.162] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:20.163] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:20.164] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
[25Jun2022 00:01:20.164] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:overworld_orbit
[25Jun2022 00:01:20.165] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus
[25Jun2022 00:01:20.166] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon_orbit
[25Jun2022 00:01:20.168] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:moon
[25Jun2022 00:01:20.169] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury_orbit
[25Jun2022 00:01:22.605] [Server thread/INFO] [net.minecraft.server.integrated.IntegratedServer/]: Saving and pausing game...
[25Jun2022 00:01:22.620] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:overworld
[25Jun2022 00:01:22.648] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_nether
[25Jun2022 00:01:22.649] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/minecraft:the_end
[25Jun2022 00:01:22.650] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/compactmachines:compact_world
[25Jun2022 00:01:22.650] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars_orbit
[25Jun2022 00:01:22.653] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mercury
[25Jun2022 00:01:22.654] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:venus_orbit
[25Jun2022 00:01:22.655] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Saving chunks for level 'ServerLevel[Creative]'/boss_tools:mars
